Reference;DistributionStatus;wdDistributionStatusCountryCode;CountryOrigin;wdCountryOriginCountryCode;NotificationFrom;wdNotificationFromCountryCode;DateOfCase;LastUpdate;Classifications;ActionTaken;Product;ProductCategory;RiskDecision;HazardSubstance;HazardAnalyticalResult;HazardUnits;HazardSamplingDate;Subject.description,,,,,,,,
2014.APG;United Kingdom;Q145;India;Q668;United Kingdom;Q145;07/04/2014;16/04/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;not serious;absence of Common Entry Document (CED);;;;absence of Common Entry Document (CED) for paan leaves from India,,,,,,,,
2016.APA;United Kingdom;Q145;India;Q668;United Kingdom;Q145;21/04/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;fish masala;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for fish masala from India,,,,,,,,
2017.ADQ;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;26/01/2017;20/04/2017;food  -  border rejection  -  border control - consignment detained;;dried beans;fruits and vegetables;not serious;attempt to illegally import;;;23/01/2017;attempt to illegally import dried beans from Nigeria,,,,,,,,
2017.BJX;United Kingdom;Q145;Ethiopia;Q115;United Kingdom;Q145;27/07/2017;12/01/2018;food  -  border rejection  -  border control - consignment detained;import not authorised;paprika powder;herbs and spices;not serious;improper health certificate(s);;;;improper health certificate(s) for paprika powder from Ethiopia,,,,,,,,
20.182.456;United Kingdom;Q145;India;Q668;United Kingdom;Q145;30/08/2018;12/11/2018;food  -  border rejection  -  border control - consignment detained;destruction;sesame seeds;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for sesame seeds from India,,,,,,,
2012.AAM;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;05/01/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;dark chocolate coated turkish delight with pistachio;confectionery;undecided;absence of health certificate(s);;;;absence of health certificate(s) for dark chocolate coated turkish delight with pistachio from Turkey,,,,,,,,
2012.ABL;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;12/01/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;dark chocolate with pistachios;confectionery;undecided;absence of health certificate(s);;;10/01/2012;absence of health certificate(s) for dark chocolate with pistachios from Turkey,,,,,,,,
2014.BGC;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;29/07/2014;05/08/2014;food  -  border rejection  -  border control - consignment detained;destruction;dried beans;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import dried beans from Nigeria,,,,,,,,
2012.ACB;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;12/01/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;milk chocolate coated pistachio dragees;confectionery;undecided;absence of health certificate(s);presented for import without results of sampling and analysis;;;absence of health certificate(s) (presented for import without results of sampling and analysis) for milk chocolate coated pistachio dragees from Turkey,,,,,,,,
2012.ACH;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;13/01/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;dark chocolate coated pistachio dragees;confectionery;undecided;absence of health certificate(s);Presented for import without results of sampling and analysis;;;absence of health certificate(s) (Presented for import without results of sampling and analysis) for dark chocolate coated pistachio dragees from Turkey,,,,,,,,
2016.BJI;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;21/10/2016;26/10/2016;food  -  border rejection  -  border control - consignment detained;destruction;melon seeds;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import melon seeds from Nigeria,,,,,,,
2017.BOM;United Kingdom;Q145;Ethiopia;Q115;United Kingdom;Q145;29/08/2017;12/01/2018;food  -  border rejection  -  border control - consignment detained;import not authorised;paprika powder;herbs and spices;not serious;improper health certificate(s);no identification code on the boxes matching the health certificate;;;improper health certificate(s) (no identification code on the boxes matching the health certificate) for paprika powder from Ethiopia,,,,,,,,
2017.BEA;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;26/06/2017;26/06/2017;food  -  border rejection  -  border control - consignment detained;destruction;dried beans;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import dried beans from Nigeria,,,,,,,,
2016.BGS;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;30/09/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;water melon seeds (Egusi);fruits and vegetables;undecided;attempt to illegally import;;;;attempt to illegally import and absence of health certificate(s) for water melon seeds (Egusi) from Nigeria,,,,,,,,
2016.BCA;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;09/08/2016;09/08/2016;food  -  border rejection  -  border control - consignment detained;;dried beans;fruits and vegetables;not serious;illegal import;;;;illegal import of dried beans from Nigeria,,,,,,,,
2017.BQP;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;12/09/2017;12/09/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;melon seeds;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for melon seeds from Nigeria,,,,,,,
2015.AXF;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;20/05/2015;20/05/2015;food  -  border rejection  -  border control - consignment detained;destruction;dried beans;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import dried beans from Nigeria,,,,,,,,
2017.ANA;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;23/03/2017;20/04/2017;food  -  border rejection  -  border control - consignment detained;official detention;dried beans and fish;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import dried beans and fish from Nigeria,,,,,,,,
2016.BGP;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;29/09/2016;29/09/2016;food  -  border rejection  -  border control - consignment detained;import not authorised;dried beans;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import dried beans from Nigeria,,,,,,,,
2015.APR;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;08/04/2015;08/04/2015;food  -  border rejection  -  border control - consignment detained;destruction;dried beans;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import dried beans from Nigeria,,,,,,,,
2014.BKR;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;03/09/2014;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;dried oloyin beans;fruits and vegetables;not serious;absence of health certificate(s);;;12/08/2014;absence of health certificate(s) for dried oloyin beans from Nigeria,,,,,,,,
2016.BJL;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;24/10/2016;31/05/2018;food  -  border rejection  -  border control - consignment detained;destruction;smoked catfish (Clarias spp);fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import smoked catfish (Clarias spp) from Nigeria,,,,,,,,
2016.BGL;United Kingdom;Q145;India;Q668;United Kingdom;Q145;29/09/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;masala spice mix;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for masala spice mix from India,,,,,,,,
2015.BRE;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;27/10/2015;27/10/2015;food  -  border rejection  -  border control - consignment detained;re-dispatch;roasted diced hazelnut kernels;nuts, nut products and seeds;not serious;fraudulent Common Entry Document (CED);;;;fraudulent Common Entry Document (CED) for roasted diced hazelnut kernels from Turkey,,,,,,,
2015.BCE;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;01/07/2015;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;egusi melon seeds;nuts, nut products and seeds;undecided;absence of health certificate(s);;;;absence of health certificate(s) for egusi melon seeds from Nigeria,,,,,,,
20.182.934;United Kingdom;Q145;South Africa;Q258;Norway;Q20;17/10/2018;30/11/2018;food  -  information for follow-up  -  official control on the market;withdrawal from recipient(s);nougat;confectionery;not serious;illegal import;contains egg, milk and honey ingredients;;;illegal import (contains egg, milk and honey ingredients) of nougat from South Africa,,,,,,
2017.CIH;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;27/12/2017;27/12/2017;food  -  border rejection  -  border control - consignment detained;destruction;milk chocolate coated hazelnut dragees;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for milk chocolate coated hazelnut dragees from Turkey,,,,,,,
2016.APK;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;25/04/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;roasted pistachios;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for roasted pistachios from Turkey,,,,,,,
2014.BCF;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;02/07/2014;02/07/2014;food  -  border rejection  -  border control - consignment detained;destruction;roasted shelled groundnuts;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import roasted shelled groundnuts from Ghana,,,,,,,
2016.AWI;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;22/06/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;melon seeds;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for melon seeds from Nigeria,,,,,,,
20.190.298;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;28/01/2019;28/01/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;shelled groundnuts;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import shelled groundnuts from Ghana,,,,,,,
2017.AVT;United Kingdom;Q145;India;Q668;United Kingdom;Q145;12/05/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;chilli powder;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for chilli powder from India,,,,,,,,
2017.BEL;United Kingdom;Q145;India;Q668;United Kingdom;Q145;27/06/2017;27/06/2017;food  -  border rejection  -  border control - consignment detained;destruction;red chilli powder;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for red chilli powder from India,,,,,,,,
2017.BLC;United Kingdom;Q145;India;Q668;United Kingdom;Q145;04/08/2017;23/10/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;chilli powder and masala;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for chilli powder and masala from India,,,,,,,,
2017.BSE;United Kingdom;Q145;India;Q668;United Kingdom;Q145;25/09/2017;25/09/2017;food  -  border rejection  -  border control - consignment detained;destruction;salted white chilli;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for salted white chilli from India,,,,,,,,
2017.ACL;United Kingdom;Q145;India;Q668;United Kingdom;Q145;19/01/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;sesame and coconut chikki;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for sesame and coconut chikki from India,,,,,,,
2010.CCE;United Kingdom;Q145;India;Q668;United Kingdom;Q145;23/11/2010;29/11/2010;food  -  border rejection  -  border control - consignment detained;destruction;curry leaves;herbs and spices;undecided;unauthorised import;customs cleared without health clearance;;;unauthorised import (customs cleared without health clearance) of curry leaves from India,,,,,,,,
2012.CFG;United Kingdom;Q145;Iran;Q794;United Kingdom;Q145;07/11/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;pistachio;nuts, nut products and seeds;undecided;absence of health certificate(s);;;26/10/2012;absence of health certificate(s) for pistachio from Iran,,,,,,,
2014.APX;United Kingdom;Q145;India;Q668;United Kingdom;Q145;10/04/2014;10/04/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;undecided;absence of Common Entry Document (CED);;;;absence of Common Entry Document (CED) for paan leaves from India,,,,,,,,
2013.BCJ;United Kingdom;Q145;India;Q668;United Kingdom;Q145;07/06/2013;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;curry leaves;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for curry leaves from India,,,,,,,,
2017.AFE;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;06/02/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;milk chocolate pistachio wafer;confectionery;not serious;absence of health certificate(s);;;;absence of health certificate(s) for milk chocolate pistachio wafer from Turkey,,,,,,,,
2007.BNG;United Kingdom;Q145;Jamaica;Q766;United Kingdom;Q145;20/06/2007;12/09/2012;food  -  information  -  border control - consignment detained;re-dispatch;curry powder;herbs and spices;undecided;absence of certified analytical report;on Sudan dyes;;;absence of certified analytical report (on Sudan dyes) for curry powder from Jamaica,,,,,,,,
2011.ASS;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;31/03/2011;06/04/2011;food  -  border rejection  -  border control - consignment detained;official detention;assorted confectionery and drinks;other food product / mixed;undecided;missing import declaration;;;28/03/2011;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for assorted confectionery and drinks from Japan,,,,,,,,
2014.ASZ;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;09/05/2014;15/05/2014;food  -  border rejection  -  border control - consignment detained;destruction;sesame seed oil;fats and oils;not serious;missing import declaration;;;;missing import declaration for sesame seed oil from Japan,,,,,,,,
2014.BTG;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;11/11/2014;11/11/2014;food  -  border rejection  -  border control - consignment detained;import not authorised;chilled tofu and soymilk products;other food product / mixed;not serious;missing import declaration;;;;missing import declaration for chilled tofu and soymilk products from Japan,,,,,,,,
2013.ABH;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;03/01/2013;15/03/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;various food products;other food product / mixed;not serious;missing import declaration;;;;missing import declaration for various food products from Japan,,,,,,,,
2013.BML;United Kingdom;Q145;India;Q668;United Kingdom;Q145;16/08/2013;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;peanuts;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for peanuts from India,,,,,,,
2011.BGE;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;03/06/2011;21/06/2011;food  -  border rejection  -  border control - consignment detained;(obsolete);spirit samples;alcoholic beverages;undecided;improper import declaration;;;;improper import declaration for spirit samples from Japan,,,,,,,,
2011.BGN;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;06/06/2011;06/06/2011;food  -  border rejection  -  border control - consignment detained;(obsolete);starch syrup;confectionery;undecided;missing import declaration;;;;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for starch syrup from Japan,,,,,,,,
2015.BNE;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;29/09/2015;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;shelled hazelnuts;nuts, nut products and seeds;serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for shelled hazelnuts from Turkey,,,,,,,
2011.CGP;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;03/11/2011;03/11/2011;food  -  border rejection  -  border control - consignment detained;;rice bran extract;food additives and flavourings;undecided;improper import declaration;;;;improper import declaration for rice bran extract from Japan,,,,,,,,
2007.BEF;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;15/05/2007;;food  -  information  -  official control on the market;withdrawal from the market;quail eggs in brine;eggs and egg products;undecided;illegal import;;;;illegal import of quail eggs in brine from Japan,,,,,,,,
2011.ATZ;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;07/04/2011;07/04/2011;food  -  border rejection  -  border control - consignment detained;re-dispatch;mineral water;natural mineral water;undecided;missing import declaration;;;01/04/2011;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for mineral water from Japan,,,,,,,,
2011.BGH;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;03/06/2011;03/06/2011;food  -  border rejection  -  border control - consignment detained;(obsolete);green tea;cocoa and cocoa preparations, coffee and tea;undecided;missing import declaration;;;;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for green tea from Japan,,,,,,,
2011.BGG;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;03/06/2011;03/06/2011;food  -  border rejection  -  border control - consignment detained;destruction;green tea;cocoa and cocoa preparations, coffee and tea;undecided;missing import declaration;;;;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for green tea from Japan,,,,,,,
2011.BGD;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;02/06/2011;02/06/2011;food  -  border rejection  -  border control - consignment detained;(obsolete);green tea;cocoa and cocoa preparations, coffee and tea;undecided;missing import declaration;;;;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for green tea from Japan,,,,,,,
2007.BAN;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;24/04/2007;;food  -  information  -  official control on the market;withdrawal from the market;various fishery products;fish and fish products;undecided;illegal import;;;;illegal import of various fishery products from Japan,,,,,,,,
2007.BAM;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;24/04/2007;;food  -  information  -  official control on the market;withdrawal from the market;sardine products (washi ajitsuke and washi miso) and mackerel product (saba miso ni);fish and fish products;undecided;illegal import;;;;illegal import of sardine products (washi ajitsuke and washi miso) and mackerel product (saba miso ni) from Japan,,,,,,,,
2013.BVL;United Kingdom;Q145;India;Q668;United Kingdom;Q145;24/10/2013;12/01/2018;food  -  border rejection  -  border control - consignment detained;import not authorised;fresh okra;fruits and vegetables;not serious;improper health certificate(s);;;;improper health certificate(s) for fresh okra from India,,,,,,,,
2011.BGC;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;02/06/2011;02/06/2011;food  -  border rejection  -  border control - consignment detained;(obsolete);green tea;cocoa and cocoa preparations, coffee and tea;undecided;missing import declaration;;;;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for green tea from Japan,,,,,,,
2011.AUB;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;07/04/2011;07/04/2011;food  -  border rejection  -  border control - consignment detained;official detention;yuzu citrus drink;non-alcoholic beverages;undecided;missing import declaration;;;;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for yuzu citrus drink from Japan,,,,,,,,
2015.BAS;United Kingdom;Q145;India;Q668;United Kingdom;Q145;22/06/2015;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;groundnuts;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for groundnuts from India,,,,,,,
2011.BJZ;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;04/07/2011;04/07/2011;food  -  border rejection  -  border control - consignment detained;destruction;rice flavoured distilled vinegar;soups, broths, sauces and condiments;undecided;improper import declaration;;;;improper import declaration for rice flavoured distilled vinegar from Japan,,,,,,
2015.BSU;United Kingdom;Q145;Pakistan;Q843;United Kingdom;Q145;04/11/2015;04/11/2015;food  -  border rejection  -  border control - consignment detained;destruction;frozen flatbread dough;other food product / mixed;not serious;missing import declaration;;;;missing import declaration for frozen flatbread dough from Pakistan infested with moulds,,,,,,,,
2007.AQA;United Kingdom;Q145;Vietnam;Q881;United Kingdom;Q145;12/03/2007;31/05/2017;food  -  information  -  border control - consignment detained;re-dispatch;various food products;other food product / mixed;undecided;attempt to illegally import;;;;attempt to illegally import and absence of health certificate(s) for various food products from Vietnam,,,,,,,,
2017.ABY;United Kingdom;Q145;Vietnam;Q881;United Kingdom;Q145;17/01/2017;08/06/2018;food  -  border rejection  -  border control - consignment detained;;dragon fruit;fruits and vegetables;not serious;absence of health certificate(s);;;;absence of health certificate(s) for dragon fruit from Vietnam,,,,,,,,
2.004.545;United Kingdom;Q145;Portugal;Q45;France;Q142;27/10/2004;;Food  -  alert  -  official control on the market;public warning - press release;bovine meat products;meat and meat products (other than poultry);undecided;illegal trade;;;;illegal trade of bovine meat products,,,,,,,,
2017.ARM;United Kingdom;Q145;India;Q668;United Kingdom;Q145;19/04/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;dried curry leaves;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for dried curry leaves from India,,,,,,,,
2017.CFD;United Kingdom;Q145;India;Q668;United Kingdom;Q145;04/12/2017;12/01/2018;food  -  border rejection  -  border control - consignment detained;official detention;red chilli;fruits and vegetables;not serious;improper health certificate(s);;;;improper health certificate(s) for red chilli from India,,,,,,,,
2012.ACE;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;12/01/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;white milk chocolate with cocoa powder coated hazelnut dragees with tiramisu flavour;confectionery;undecided;absence of health certificate(s);Presented for import without results of sampling and analysis;;;absence of health certificate(s) (Presented for import without results of sampling and analysis) for white milk chocolate with cocoa powder coated hazelnut dragees with tiramisu flavour from Turkey,,,,,,,,
2017.ALN;United Kingdom;Q145;Iran;Q794;United Kingdom;Q145;14/03/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;pistachio nougat;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s), of certified analytical report and of Common Entry Document (CED) for pistachio nougat from Iran,,,,,,
2012.ABW;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;12/01/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;milk chocolate with hazelnuts;confectionery;undecided;absence of health certificate(s);presented for import without results of sampling and analysis;;;absence of health certificate(s) (presented for import without results of sampling and analysis) for milk chocolate with hazelnuts from Turkey,,,,,,,,
20.171.958;United Kingdom;Q145;Portugal;Q45;Portugal;Q45;15/11/2017;28/03/2018;food  -  information for follow-up  -  official control on the market;informing authorities;category 3 animal by-products;other food product / mixed;not serious;fraud;unfit for human consumption sold as fit for human consumption;;;fraud (unfit for human consumption sold as fit for human consumption) with category 3 animal by-products from Portugal,,,,,,,,
2016.BOU;United Kingdom;Q145;India;Q668;United Kingdom;Q145;07/12/2016;12/01/2018;food  -  border rejection  -  border control - consignment detained;import not authorised;okra;fruits and vegetables;not serious;improper health certificate(s);;;;improper health certificate(s) for okra from India,,,,,,,,
2016.ACH;United Kingdom;Q145;Vietnam;Q881;United Kingdom;Q145;19/01/2016;19/01/2016;food  -  border rejection  -  border control - consignment detained;destruction;fresh mint;herbs and spices;undecided;absence of Common Entry Document (CED);;;;absence of Common Entry Document (CED) for fresh mint from Vietnam,,,,,,,,
2015.ASZ;United Kingdom;Q145;Vietnam;Q881;United Kingdom;Q145;24/04/2015;15/06/2015;food  -  border rejection  -  border control - consignment detained;import not authorised;mint;herbs and spices;serious;missing import declaration;;;;missing import declaration for mint from Vietnam,,,,,,,,
2012.AAO;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;06/01/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;turkish delight with double roasted pistachio;confectionery;undecided;absence of health certificate(s);;;05/01/2012;absence of health certificate(s) for turkish delight with double roasted pistachio from Turkey,,,,,,,,
2014.ARM;United Kingdom;Q145;Bangladesh;Q902;United Kingdom;Q145;23/04/2014;30/04/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import paan leaves from Bangladesh,,,,,,,,
2016.BLH;United Kingdom;Q145;Vietnam;Q881;United Kingdom;Q145;08/11/2016;22/11/2016;food  -  border rejection  -  border control - consignment detained;destruction;fresh mint;herbs and spices;not serious;attempt to illegally import;;;;attempt to illegally import fresh mint from Vietnam,,,,,,,,
1998.BK;United Kingdom;Q145;Sri Lanka;Q854;United Kingdom;Q145;03/08/1998;;Food  -  information  -;;Fish products;fish and fish products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for Fish products,,,,,,,,
2007.CUL;United Kingdom;Q145;Sri Lanka;Q854;United Kingdom;Q145;04/12/2007;31/05/2017;food  -  information  -  border control - consignment released;destruction;jars containing various types of fishery products;fish and fish products;undecided;absence of health certificate(s);;;;absence of health certificate(s) for jars containing various types of fishery products from Canada, with raw material from Sri Lanka,,,,,,,
2014.APW;United Kingdom;Q145;Bangladesh;Q902;United Kingdom;Q145;09/04/2014;09/04/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;serious;attempt to illegally import;;;06/04/2014;attempt to illegally import paan leaves from Bangladesh,,,,,,,,
2014.AEZ;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;30/01/2014;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;roasted peanuts without shell;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for roasted peanuts without shell from Ghana,,,,,,,
2015.AWS;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;18/05/2015;12/01/2018;food  -  border rejection  -  border control - consignment detained;destruction;peanuts;nuts, nut products and seeds;not serious;improper health certificate(s);;;;improper health certificate(s) for peanuts from Ghana,,,,,,,
2014.AFE;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;30/01/2014;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;peanut butter;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for peanut butter from Ghana,,,,,,,
2016.AXB;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;27/06/2016;07/07/2016;food  -  border rejection  -  border control - consignment detained;destruction;shelled groundnuts & peanut butter balls;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import shelled groundnuts & peanut butter balls from Ghana,,,,,,,
2014.AQQ;United Kingdom;Q145;Bangladesh;Q902;United Kingdom;Q145;14/04/2014;14/04/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import paan leaves from Bangladesh,,,,,,,,
2007.CUL;United Kingdom;Q145;Sri Lanka;Q854;United Kingdom;Q145;04/12/2007;31/05/2017;food  -  information  -  border control - consignment released;destruction;jars containing various types of fishery products;fish and fish products;undecided;absence of health certificate(s);;;;absence of health certificate(s) for jars containing various types of fishery products from Canada, with raw material from Sri Lanka,,,,,,,
2016.AXI;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;28/06/2016;07/07/2016;food  -  border rejection  -  border control - consignment detained;destruction;shelled groundnuts;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import shelled groundnuts from Ghana,,,,,,,
2016.BRH;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;19/12/2016;20/12/2016;food  -  border rejection  -  border control - consignment detained;destruction;shelled groundnuts and peanut butter;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import shelled groundnuts and peanut butter from Ghana,,,,,,,
2004.CIN;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;04/11/2004;;Food  -  information  -  border control - consignment detained;destruction;chilli powder;herbs and spices;undecided;attempt to illegally import;no analytical certificate;;;illegal import (no analytical certificate) of chilli powder,,,,,,,,
2012.AIU;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;03/02/2012;12/01/2018;food  -  border rejection  -  border control - consignment detained;import not authorised;hazelnut cream with cocoa;confectionery;undecided;improper health certificate(s);;;;improper health certificate(s) for hazelnut cream with cocoa from Turkey,,,,,,,,
2015.ARM;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;17/04/2015;17/04/2015;food  -  border rejection  -  border control - consignment detained;import not authorised;groundnuts;nuts, nut products and seeds;serious;absence of certified analytical report;;;;absence of certified analytical report for groundnuts from Ghana,,,,,,,
2016.BRJ;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;19/12/2016;19/12/2016;food  -  border rejection  -  border control - consignment detained;destruction;smoked catfish (Clarias spp);fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import smoked catfish (Clarias spp) from Ghana,,,,,,,,
